abbreviation,name,population,area
AL,Alabama,5074296,52420.07
KY,Kentucky,4512310,40407.80
OH,Ohio,11756058,44825.58
AK,Alaska,733583,665384.04
LA,Louisiana,4590241,52378.13
OK,Oklahoma,4019800,69898.87
AZ,Arizona,7359197,113990.30
ME,Maine,1385340,35379.74
OR,Oregon,4240137,98378.54
AR,Arkansas,3045637,53178.55
MD,Maryland,6164660,12405.93
PA,Pennsylvania,12972008,46054.34
AS,American Samoa,49710,581.05
MA,Massachusetts,6981974,10554.39
PR,Puerto Rico,3221789,5324.84
CA,California,39029342,163694.74
MI,Michigan,10034113,96713.51
RI,Rhode Island,1093734,1544.89
CO,Colorado,5839926,104093.67
MN,Minnesota,5717184,86935.83
SC,South Carolina,5282634,32020.49
CT,Connecticut,3626205,5543.41	
MS,Mississippi,2940057,48431.78
SD,South Dakota,909824,77115.68
DE,Delaware,1018396,2488.72
MO,Missouri,6177957,69706.99
TN,Tennessee,7051339,42144.25
DC,District of Columbia,671803,68.34
MT,Montana,1122867,147039.71
TX,Texas,30029572,268596.46
FL,Florida,22244823,65757.70
NE,Nebraska,1967923,77347.81
GA,Georgia,10912876,59425.15
NV,Nevada,3177772,110571.82
UT,Utah,3380800,84896.88
GU,Guam,153836,570.62
NH,New Hampshire,1395231,9349.16
VT,Vermont,647064,9616.36
HI,Hawaii,1440196,10931.72	
NJ,New Jersey,9261699,8722.58
VA,Virginia,8683619,42774.93
ID,Idaho,1939033,83568.95 
NM,New Mexico,2113344,121590.30
VI,Virgin Islands,87146,732.93
IL,Illinois,12582032,57913.55
NY,New York,19677151,121590.30
WA,Washington,7785786,71297.95
IN,Indiana,6833037,36419.55
NC,North Carolina,10698973,53819.16
WV,West Virginia,1775156,24230.04
IA,Iowa,3200517,56272.81
ND,North Dakota,779261,70698.32
WI,Wisconsin,5892539,65496.38
KS,Kansas,2937150,82278.36
MP,Northern Mariana Islands,47329,1975.57
WY,Wyoming,581381,97813.01
